8.47485,8.81229,,5327.64591,5327.91009,,Latitudes,,difference,squared difference
9.26628,9.26961,,5326.5348,5326.52481,,9.26628,9.26961,-0.00332999988118132,1.10889E-05
9.26517,9.26628,,5326.52259,5326.5348,,9.26517,9.26628,-0.00111000009184004,1.2321E-06
9.26517,9.26517,,5326.52037,5326.52259,,9.26517,9.26517,0,0
9.26517,9.26517,,5326.52148,5326.52037,,9.26517,9.26517,0,0
9.26295,9.26517,,5326.52259,5326.52148,,9.26295,9.26517,-0.00221999978932885,4.9284E-06
9.26295,9.26295,,5326.52481,5326.52259,,9.26295,9.26295,0,0
9.26406,9.26295,,5326.52814,5326.52481,,9.26406,9.26295,0.00110999969748882,1.2321E-06
9.26295,9.26406,,5326.53591,5326.52814,,9.26295,9.26406,-0.00110999969748882,1.2321E-06
9.26628,9.26295,,5326.5348,5326.53591,,9.26628,9.26295,0.00332999988116889,1.10889E-05
9.26628,9.26628,,5326.53369,5326.5348,,9.26628,9.26628,0,0
9.26517,9.26628,,5326.53258,5326.53369,,9.26517,9.26628,-0.00111000009184004,1.2321E-06
9.26295,9.26517,,5326.53258,5326.53258,,9.26295,9.26517,-0.00221999978932885,4.9284E-06
9.25962,9.26295,,5326.53036,5326.53258,,9.25962,9.26295,-0.00333000027553076,1.10889E-05
9.25851,9.25962,,5326.52481,5326.53036,,9.25851,9.25962,-0.00111000009184004,1.2321E-06
9.26961,9.25851,,5326.52925,5326.52481,,9.26961,9.25851,0.011100000129721,0.00012321
9.26961,9.26961,,5326.52814,5326.52925,,9.26961,9.26961,0,0
9.27072,9.26961,,5326.53036,5326.52814,,9.27072,9.26961,0.00111000009184004,1.2321E-06
9.2685,9.27072,,5326.52925,5326.53036,,9.2685,9.27072,-0.00222000018369073,4.9284E-06
9.26295,9.2685,,5326.52814,5326.52925,,9.26295,9.2685,-0.00554999967049952,3.08025E-05
9.25629,9.26295,,5326.53036,5326.52814,,9.25629,9.26295,-0.00666000015669965,4.43556E-05
9.25074,9.25629,,5326.52925,5326.53036,,9.25074,9.25629,-0.00555000006486139,3.08025E-05
9.21966,9.25074,,5326.53924,5326.52925,,9.21966,9.25074,-0.0310799998111086,0.000965966
9.21522,9.21966,,5326.5348,5326.53924,,9.21522,9.21966,-0.00443999997302136,1.97136E-05
9.21189,9.21522,,5326.53369,5326.5348,,9.21189,9.21522,-0.00333000027552011,1.10889E-05
9.19857,9.21189,,5326.53369,5326.53369,,9.19857,9.21189,-0.0133199999190499,0.000177422
9.19635,9.19857,,5326.53258,5326.53369,,9.19635,9.19857,-0.00222000018368007,4.9284E-06
9.19413,9.19635,,5326.5348,5326.53258,,9.19413,9.19635,-0.00221999978933951,4.9284E-06
9.19857,9.19413,,5326.52703,5326.5348,,9.19857,9.19413,0.00443999997301958,1.97136E-05
9.19413,9.19857,,5326.52592,5326.52703,,9.19413,9.19857,-0.00443999997301958,1.97136E-05
9.18969,9.19413,,5326.52592,5326.52592,,9.18969,9.19413,-0.0044399999730107,1.97136E-05
9.18525,9.18969,,5326.5237,5326.52592,,9.18525,9.18969,-0.00443999997301958,1.97136E-05
9.1797,9.18525,,5326.5237,5326.5237,,9.1797,9.18525,-0.00555000006485962,3.08025E-05
9.17637,9.1797,,5326.52481,5326.5237,,9.17637,9.1797,-0.00332999988117066,1.10889E-05
9.17526,9.17637,,5326.5237,5326.52481,,9.17526,9.17637,-0.00111000009184004,1.2321E-06
9.17304,9.17526,,5326.5237,5326.5237,,9.17304,9.17526,-0.00222000018368895,4.9284E-06
9.13863,9.17304,,5326.57365,5326.5237,,9.13863,9.17304,-0.0344099996922811,0.001184048
9.13419,9.13863,,5326.56588,5326.57365,,9.13419,9.13863,-0.00443999997301958,1.97136E-05
9.12975,9.13419,,5326.5681,5326.56588,,9.12975,9.13419,-0.00444000036736902,1.97136E-05
9.12753,9.12975,,5326.56921,5326.5681,,9.12753,9.12975,-0.00221999978933063,4.9284E-06
9.1242,9.12753,,5326.56921,5326.56921,,9.1242,9.12753,-0.00332999988117066,1.10889E-05
9.12087,9.1242,,5326.57143,5326.56921,,9.12087,9.1242,-0.00333000027552899,1.10889E-05
9.11643,9.12087,,5326.57032,5326.57143,,9.11643,9.12087,-0.0044399999730107,1.97136E-05
9.11088,9.11643,,5326.57032,5326.57032,,9.11088,9.11643,-0.00554999967051018,3.08025E-05
9.10866,9.11088,,5326.57032,5326.57032,,9.10866,9.11088,-0.00222000018368007,4.9284E-06
9.10644,9.10866,,5326.56921,5326.57032,,9.10644,9.10866,-0.00222000018368895,4.9284E-06
9.10311,9.10644,,5326.5681,5326.56921,,9.10311,9.10644,-0.00332999988117066,1.10889E-05
9.09867,9.10311,,5326.56366,5326.5681,,9.09867,9.10311,-0.00443999997301958,1.97136E-05
9.09312,9.09867,,5326.56144,5326.56366,,9.09312,9.09867,-0.00555000006485962,3.08025E-05
9.08868,9.09312,,5326.56144,5326.56144,,9.08868,9.09312,-0.0044399999730107,1.97136E-05
9.08757,9.08868,,5326.56144,5326.56144,,9.08757,9.08868,-0.00111000009184004,1.2321E-06
9.08313,9.08757,,5326.56699,5326.56144,,9.08313,9.08757,-0.00443999997301958,1.97136E-05
9.08202,9.08313,,5326.56477,5326.56699,,9.08202,9.08313,-0.00111000009184004,1.2321E-06
9.07758,9.08202,,5326.56366,5326.56477,,9.07758,9.08202,-0.00443999957867014,1.97136E-05
9.07536,9.07758,,5326.56477,5326.56366,,9.07536,9.07758,-0.00222000018368007,4.9284E-06
9.07314,9.07536,,5326.56477,5326.56477,,9.07314,9.07536,-0.00222000018368007,4.9284E-06
9.06981,9.07314,,5326.56366,5326.56477,,9.06981,9.07314,-0.00332999988117955,1.10889E-05
9.06426,9.06981,,5326.56255,5326.56366,,9.06426,9.06981,-0.00555000006485962,3.08025E-05
9.06093,9.06426,,5326.56255,5326.56255,,9.06093,9.06426,-0.00332999988117066,1.10889E-05
9.05649,9.06093,,5326.557,5326.56255,,9.05649,9.06093,-0.00443999997301958,1.97136E-05
9.05094,9.05649,,5326.55589,5326.557,,9.05094,9.05649,-0.00555000006485074,3.08025E-05
9.04539,9.05094,,5326.55589,5326.55589,,9.04539,9.05094,-0.00555000006485962,3.08025E-05
9.04095,9.04539,,5326.55589,5326.55589,,9.04095,9.04539,-0.00443999997301958,1.97136E-05
9.03762,9.04095,,5326.55478,5326.55589,,9.03762,9.04095,-0.00332999988117066,1.10889E-05
9.03318,9.03762,,5326.55367,5326.55478,,9.03318,9.03762,-0.0044400003673708,1.97136E-05
9.03096,9.03318,,5326.557,5326.55367,,9.03096,9.03318,-0.00221999978932885,4.9284E-06
9.02652,9.03096,,5326.56033,5326.557,,9.02652,9.03096,-0.00443999997301958,1.97136E-05
9.02319,9.02652,,5326.55922,5326.56033,,9.02319,9.02652,-0.00332999988117066,1.10889E-05
9.01653,9.02319,,5326.56033,5326.55922,,9.01653,9.02319,-0.00666000015669965,4.43556E-05
9.01209,9.01653,,5326.56144,5326.56033,,9.01209,9.01653,-0.00443999997301958,1.97136E-05
9.00432,9.01209,,5326.56366,5326.56144,,9.00432,9.01209,-0.00776999985419025,6.03729E-05
8.99877,9.00432,,5326.5681,5326.56366,,8.99877,9.00432,-0.00555000006486139,3.08025E-05
8.99322,8.99877,,5326.5681,5326.5681,,8.99322,8.99877,-0.00555000006484896,3.08025E-05
8.98989,8.99322,,5326.5681,5326.5681,,8.98989,8.99322,-0.00332999988117955,1.10889E-05
8.98434,8.98989,,5326.56921,5326.5681,,8.98434,8.98989,-0.00555000006486139,3.08025E-05
8.97879,8.98434,,5326.5681,5326.56921,,8.97879,8.98434,-0.00555000006484896,3.08025E-05
