data,normed data
4.25,0.44975925307336634
6.92,0.9588534063576684
7.6,0.9991285000507657
6.68,0.9312398296484601
4.69,0.5439123303376845
5.01,0.6145154818653196
5.29,0.6761669388624256
6.08,0.8370721040315466
6.16,0.8514100908641186
5.96,0.8147138110226974
5.1,0.6344147981060525
3.98,0.3951687580473633
3.59,0.32223024667047395
4.23,0.44561714544658454
3.82,0.3643268545880093
3.63,0.3293517174106027
3.41,0.2912728683271953
4.01,0.4010836334354979
3.69,0.3401941955346624
0.41,0.028666094148883978
1.35,0.06743110047370254
1.91,0.1061421335475264
6.8,0.9458520766798467
6.83,0.9492564010733646
6.47,0.9020382538896293
6.17,0.8531684013796077
6.14,0.8478704652603926
6.13,0.846089276200781
5.64,0.7508964737510063
5.06,0.6255756090292046
6.05,0.8315751171305426
6.5,0.9064789832201113
6.04,0.8297287261336767
6.61,0.9220037582238668
6.73,0.937519054701462
6.39,0.8897809442857166
6.3,0.8752984302851551
6.2,0.8583965713274497
5.89,0.8012385359638658
5.58,0.7383778593139799
4.78,0.5636827577338448
3.99,0.3971359148356174
3.96,0.3912479998490062
3.83,0.36621848945864366
3.14,0.24830629788980443
3.56,0.3169460660319477
4.17,0.43327982494903705
3.94,0.3873455121255952
3.3,0.27325653202039496
2.81,0.2016266773056831
3.33,0.278100985743804
3.45,0.29799570445294377
4.32,0.46436738432895797
0.0,0.019025309420050606
1.72,0.09142642461760303
5.75,0.773437627021704
5.34,0.6870547644661363
5.99,0.8203942170998232
6.69,0.9325171332952674
6.89,0.955758196640536
7.48,0.9963476559332383
7.25,0.9857423488802318
8.9,0.9106713603256703
9.4,0.827667260799304
9.69,0.7711847942858021
9.96,0.714836299596459
9.76,0.7568680291928596
9.93,0.7212338260816993
10.23,0.6562045978603392
9.41,0.8258063230522701
9.74,0.760981854285208
9.75,0.7589272067696595
10.21,0.6605975641138827
9.88,0.731828948822084
10.36,0.6275385775596386
9.39,0.8295213471620191
11.1,0.46623221390910946
11.11,0.46413217229793885
10.33,0.6341672678351647
10.39,0.6209047648999165
10.67,0.5590336710505849
10.68,0.5568343417165488
10.74,0.5436668457012703
10.77,0.5371037738902359
10.78,0.5349194922287606
10.99,0.4895389738448228
11.17,0.45160279038133
11.29,0.426935225674866
10.86,0.5175138899160601
11.48,0.38907578756834416
11.49,0.3871273591123586
11.3,0.4249046824494821
11.34,0.4168231230402183
11.13,0.45994205155915724
11.18,0.4495267444191389
11.68,0.3510174582461358
11.12,0.46203543792526797
11.2,0.4453854487706698
11.7,0.34732092782209023
11.73,0.3418148579003427
12.02,0.2910857993608183
10.97,0.49381459040890113
10.98,0.4916754077794451
12.01,0.2927573677183183
12.03,0.28941992163458763
12.35,0.23917298811600385
11.59,0.36790223174249453
11.96,0.3012001399185067
11.04,0.4788995927115162
11.07,0.4725517697405261
11.84,0.32203194578780125
12.09,0.2795447913694044
12.22,0.25886324522434667
12.08,0.2811762905516079
11.95,0.3029055904614414
11.83,0.3238036092156713
12.0,0.2944346147450479
12.11,0.2762991011334332
11.72,0.34364502247535433
11.32,0.4208557112761015
11.4,0.40482633467387585
11.36,0.41280718823748913
11.15,0.45576548432879727
11.58,0.36980313451952046
10.92,0.5045501438018827
10.66,0.5612342143174693
10.73,0.545857773481559
9.0,0.8958122676173172
10.54,0.5877155327763953
10.89,0.5110215252426432
10.47,0.6032019419107584
10.5,0.5965632155927428
10.44,0.6098414623410436
10.61,0.5722532428808832
10.46,0.6054151053712391
10.85,0.5196824505420612
10.94,0.5002481776458415
10.88,0.5131833790002771
11.08,0.47044205418977847
10.75,0.5414775020187566
10.84,0.5218531497732339
10.6,0.5744599281118556
10.72,0.5480502332827693
10.2,0.662791825719847
9.18,0.8667610654205149
10.06,0.6933179371991557
9.15,0.8717978031105226
10.09,0.686811294124138
10.1,0.6846377793229131
10.08,0.6889825354541702
10.03,0.6998023577793266
9.83,0.7423325757754545
9.16,0.870127232348668
9.56,0.797114498859055
9.55,0.7990703559454304
8.89,0.9121039616186836
9.82,0.744421586829334
9.8,0.7485873592175364
9.68,0.7732108535583254
9.43,0.8220641531483046
8.93,0.9063146358713179
8.41,0.9683044338964789
8.25,0.9810860969170379
8.01,0.994201250448535
7.82,0.9992584420186618
7.22,0.9838563699159115
6.81,0.9469981017504591
6.35,0.8834325406959319
5.84,0.7914338162396779
4.7,0.5461034324255323
4.24,0.4476863891888584
3.65,0.33294465828746966
2.93,0.21785311374027172
3.05,0.23493453644544954
4.16,0.4312369748872829
4.73,0.5526856859113428
4.74,0.554882577326191
1.76,0.09438233168285398
1.78,0.09588827149170188
1.63,0.08504343324261586
7.38,0.9925813734620761
7.19,0.9818563334352076
6.97,0.9637776963640282
7.42,0.9942450201856681
6.84,0.9503685883231648
6.48,0.9035281047452813
6.25,0.8669505843315941
5.93,0.8089757882160317
5.45,0.7107957527420354
4.62,0.5286216908955592
3.13,0.24679687555145688
2.79,0.19900519237134884
3.0,0.22771332091784335
3.17,0.25286997906345954
4.81,0.5702946275504822
5.08,0.6299964773325344
5.54,0.7299538700354204
6.06,0.8334145200848779
6.38,0.8882073185172291
6.56,0.9150970988199852
6.85,0.9514694099642118
7.46,0.9956993124064777
7.11,0.9759708171044675
7.51,0.9972213745049207
8.05,0.9925317521629965
8.27,0.9796618063514269
8.49,0.9607473530095925
8.55,0.9545842997021725
8.35,0.9734666932425794
8.34,0.9742843371205325
8.36,0.9726367850186464
8.42,0.9674016391060196
8.62,0.9468702118002118
6.41,0.8929008976257267
6.86,0.9525588235004218
6.53,0.9108324198781653
7.83,0.9991113532335353
7.28,0.987513599277143
8.14,0.9880157442311704
8.13,0.9885691554011018
7.95,0.9963127146212517
8.31,0.9766633641668617
8.29,0.9781874846970103
8.44,0.9655600044576955
7.99,0.9949575633349531
7.87,0.9983902722314252
8.19,0.9850565751380034
7.61,0.9992741001014626
7.36,0.9916713677996105
7.65,0.9997235926319065
7.64,0.9996311651551316
7.57,0.9986120461763078
7.33,0.990209035308368
7.32,0.9896957149795435
7.76,0.99986181870215
7.75,0.9999158179973567
7.74,0.9999565059170811
7.63,0.9995254376713659
7.12,0.9767500901440663
7.49,0.9966520804843141
7.9,0.9977103081722322
7.59,0.998969620063292
8.22,0.9831282353626317
8.21,0.9837836942671049
8.26,0.9803802197353
8.63,0.9457229301555776
9.28,0.8494456788199515
9.67,0.7752319135876821
9.86,0.7360418464395093
10.32,0.6363754080169192
10.0,0.7062627867538465
10.41,0.616480185694871
10.48,0.6009888668306828
11.26,0.43305066543586107
10.71,0.550244172757213
10.07,0.6911514382155846
10.4,0.6186926388526895
10.14,0.6759222832679553
9.72,0.765077290926038
9.7,0.7691538027517556
9.35,0.8368678852403055
8.87,0.9149393813534595
8.77,0.928507175968881
8.83,0.9204896061042714
8.48,0.9617335706477541
7.78,0.9997138951439454
5.87,0.7973340041165909
6.59,0.9192715800358693
7.26,0.9863455452865748
7.39,0.9930168564919761
7.47,0.9960300623560581
7.09,0.9743752141346954
7.31,0.9891694900897998
7.23,0.9844977365858636
7.21,0.9832023298623346
7.41,0.9938486963943544
8.07,0.9916188323224839
8.1,0.9901521443570793
8.15,0.9874494951039233
8.59,0.9502444974531532
8.52,0.9577182499818575
8.5,0.959749367757504
8.66,0.9422141438914423
8.88,0.9135266530853485
8.97,0.9003702240869336
9.24,0.8564667654917085
7.43,0.9946282586748255
6.82,0.9481328911151703
5.8,0.7834886985604701
4.64,0.5329815265949418
3.03,0.23202823757006086
3.77,0.35494334119043114
4.57,0.5177568375300508
5.9,0.8031819247585292
6.29,0.8736457197307104
6.43,0.8959840702572474
6.42,0.8944471101302768
6.99,0.9656644786029451
7.01,0.9675034248229134
6.87,0.9536367868427185
7.05,0.9710366677295094
7.68,0.9999210407646395
7.81,0.999392245679385
7.89,0.9979501987890416
8.3,0.9774316344806876
7.86,0.9985904375001132
8.03,0.9933926038363403
7.58,0.9987974664813383
8.8,0.924545093468617
10.13,0.6781042433241589
9.77,0.7548043886063527
9.73,0.763031904687179
10.17,0.6693649617982749
9.95,0.7169720244031621
10.37,0.6253277947335086
10.31,0.6385827341907931
9.89,0.7297169770213153
10.65,0.5634359175811955
10.53,0.5899268568743157
10.49,0.5987759386314799
10.63,0.5678425870651509
10.43,0.6120545377659459
10.51,0.5943507557709049
10.38,0.6231165036541004
10.04,0.6976434624556415
10.01,0.7041120856958153
7.0,0.9665899493295634
10.29,0.642994697515741
11.05,0.4767805815038652
9.99,0.7084106247037977
9.98,0.7105555335560025
9.66,0.7772479074166534
9.97,0.7126974472377305
9.78,0.7527363520573379
9.62,0.7852598826429265
9.84,0.7402395707527005
9.85,0.7381426386789265
9.51,0.8068344570911973
8.65,0.9433948514726807
9.05,0.8880303808041804
8.39,0.9700738020332155
7.85,0.998777344308111
7.44,0.9949983966106353
7.1,0.9751791814013748
7.06,0.9718896409438582
6.67,0.9299518933828729
6.62,0.9233544493592241
6.6,0.9206427846517179
6.95,0.9618433723465648
6.79,0.9446948599998841
7.07,0.9727304116428301
6.74,0.9387424731965432
5.03,0.6189405946740938
4.97,0.6056631630160124
5.12,0.6388300812137186
5.17,0.6498517564034269
5.77,0.7774735443847904
5.5,0.7214722718701051
6.4,0.8913454898770964
7.2,0.9825356422609387
7.69,0.9999602366141574
6.7,0.933783755702282
7.55,0.9982014355253828
9.2,0.8633619376881311
11.02,0.4831466109234847
11.65,0.3566005387917233
11.61,0.3641151450182303
11.57,0.37170890975674853
11.62,0.36222901098069027
11.42,0.40086193064846365
10.76,0.5392897942383561
11.81,0.32736315362148344
12.36,0.23769974096572655
11.94,0.30461664164748986
11.87,0.31674959894204596
11.66,0.35473443742705263
10.42,0.6142674654071418
10.57,0.5810847468719064
10.16,0.6715525782096613
9.54,0.8010203465799698
7.62,0.9994064144026139
5.86,0.7953729937328569
3.1,0.24230408115296082
2.16,0.1282306162969902
1.21,0.059809464378429315
1.37,0.06858185111994329
3.8,0.3605584445033692
5.07,0.6277863311056241
5.6,0.7425669152698001
5.91,0.8051193071460104
8.12,0.9891097066817438
6.45,0.8990300062046536
3.57,0.31870200391418757
2.87,0.2096331538092536
3.19,0.25594189730665773
3.66,0.3347491148238361
4.66,0.5373487007867251
5.44,0.7086511763038171
6.93,0.9598618077965781
6.46,0.9005388691287708
7.13,0.9775169698892389
7.14,0.978271426180033
8.37,0.9717946449949664
10.25,0.6518061292309256
10.27,0.6474026620420468
11.23,0.4392010690834694
10.79,0.5327370002308861
10.87,0.5153475165980916
10.34,0.6319583751694351
9.9,0.7276014122025136
9.94,0.7191045553556121
9.37,0.8332087067603429
9.07,0.8848541120237611
8.69,0.9386058930589305
8.94,0.9048429351857622
8.51,0.9587396536771403
8.53,0.95668519631018
6.28,0.8719845194102496
4.34,0.468571465331244
3.54,0.3134506399649291
4.1,0.4190633681227827
4.92,0.5945987167065492
5.27,0.671797657252996
5.73,0.7693816826869878
7.04,0.9701715254134358
7.79,0.9996199767887889
7.27,0.9869359698763907
6.76,0.9411565071489184
5.39,0.6978855652986153
5.94,0.8108947548699792
8.75,0.9310960039768762
9.13,0.8751136163162073
8.33,0.9750896845688141
7.8,0.9995127588734396
7.97,0.9956614220944385
8.11,0.9896373766428025
7.54,0.9979762615635364
6.36,0.8850330584118429
7.17,0.9804599598326392
7.53,0.99773785364562
7.5,0.9969433238777372
7.71,0.9999986878303347
7.93,0.9969113371348278
7.88,0.9981768564894206
7.18,0.9811644301945706
6.78,0.9435264962002309
6.34,0.8818231760377703
6.22,0.8618424265912743
6.23,0.8635532908016794
5.62,0.7467399653130078
5.56,0.7341733326804731
5.74,0.7714121247393604
5.82,0.7874722067815265
5.61,0.7446554745018487
6.01,0.8241482718417373
5.92,0.8070506169845227
6.12,0.8443005872736401
6.26,0.8686368910430132
6.77,0.9423470301608062
7.03,0.9692942478656105
7.15,0.9790134293294546
7.35,0.9911968813248693
7.7,0.9999861193140037
7.77,0.9997945101882556
6.57,0.916498684903007
6.07,0.8352468705031324
5.23,0.6630376654808948
3.53,0.31171118393458735
3.73,0.3475275402681448
4.35,0.47067835668841623
5.02,0.6167281751909658
5.51,0.7235978389301277
5.85,0.7934062422722757
8.06,0.9920817918872809
6.63,0.9246948070000917
5.65,0.7529683573664865
5.76,0.7754581225549323
6.11,0.8425044619155297
6.91,0.957833310887544
7.29,0.9880784106137035
7.24,0.9851264045257635
8.45,0.9646212364903
8.61,0.9480062626617033
8.6,0.9491310389949195
8.79,0.9258762332873688
9.06,0.8864467251788942
9.21,0.8616501667080451
9.47,0.8145004606597143
9.58,0.7931854509138662
9.32,0.8423026888028582
9.65,0.7792587681160803
10.02,0.7019585874330484
10.12,0.6802841891189471
10.69,0.5546362799911387
11.53,0.37938021500025676
11.56,0.3736195316839381
11.21,0.4433202758199086
11.06,0.47466462629386164
11.31,0.4228781661063555
11.43,0.3988863443351765
11.71,0.3454803861949925
11.25,0.4350969633496297
10.15,0.6737383734424736
10.11,0.6824620560330114
10.05,0.6954819670869844
10.28,0.6451992107234767
9.63,0.7832648225718197
9.26,0.8529717118518348
8.99,0.8973409647190957
8.54,0.9556405327232366
8.32,0.9758827039683717
8.04,0.9929686952688991
5.22,0.6608435761924889
2.09,0.12172139829406418
1.89,0.10451132920766343
4.28,0.45599917832226566
1.67,0.08783506394270517
1.84,0.10051967421438464
5.09,0.6322059867241948
5.19,0.654252506223374
5.0,0.6123025744966115
4.53,0.5091039281430276
4.29,0.45808613391158154
4.84,0.5769149154768588
4.67,0.5395349128203092
6.33,0.8802050233713471
7.02,0.9684048694101173
6.65,0.9273443192637901
6.52,0.9093910644533848
8.91,0.9092289028905689
9.23,0.8582025186805565
7.91,0.9974571942073377
8.16,0.986870430451565
9.44,0.8201830511701881
9.46,0.8164011394913057
9.14,0.8734599512205689
