data,normed data
0.0,0.11660930967461462
1.01,0.23061558161162737
1.4,0.2898433492708752
2.15,0.42604771498928007
3.21,0.6499852933758413
3.92,0.7962748361918031
4.64,0.9162692842561239
5.28,0.9821245058574316
5.54,0.9952872637391007
5.5,0.9938069034522448
6.0,0.9977669283306105
6.25,0.9879006552698354
7.21,0.8831880644259743
7.4,0.8518965252439136
7.72,0.7934020037469464
8.22,0.6916661776189661
8.08,0.7210673770681971
7.99,0.7396503316825614
8.61,0.6078872082856166
8.57,0.6165394396795737
8.74,0.5797816790300193
8.79,0.5689954001360775
8.98,0.5282717031711444
8.34,0.6660980169539911
9.12,0.4986742631355047
8.11,0.7148136991691378
8.25,0.6853012479555669
8.44,0.644612062486467
9.19,0.4840505237872192
9.88,0.34913148312472264
9.56,0.4093257760700353
8.84,0.5582322291655423
8.48,0.6359864344562732
8.51,0.6295089533580738
7.46,0.8414440229174964
7.66,0.804853354851644
7.91,0.7559160075095861
8.45,0.642457008508825
8.27,0.6810472154620391
8.66,0.5970715476233422
9.55,0.4112791462664039
8.91,0.5432146599557682
8.72,0.5841012125255081
8.4,0.6532217085079147
8.55,0.620864237544553
8.94,0.5368004341639387
8.81,0.5646870003166681
8.73,0.5819411394111733
8.31,0.6725155388551376
8.07,0.7231456723714866
7.89,0.7599413341104903
8.56,0.6187019949948295
7.62,0.8123725540326263
7.69,0.7991529129601308
8.0,0.7375996629397775
7.68,0.801058750316885
7.8,0.7778322705544447
7.78,0.7817554886895164
7.52,0.8307392396023124
7.57,0.8216352097037996
7.5,0.8343347360922173
6.81,0.9386763094776204
5.87,0.9997898959748103
4.91,0.9495098108271678
3.7,0.7528765547609819
2.1,0.41617123997634625
1.23,0.2629800897071238
1.45,0.29804589892024363
1.71,0.34283071484811006
2.42,0.48092453374095306
2.49,0.49552021894959336
4.67,0.9203258239560371
5.49,0.9934055642007938
6.46,0.973687420080259
6.72,0.9489684351188004
6.75,0.9456335072599157
7.32,0.8654187253102646
7.51,0.8325403422174632
8.04,0.7293608969364314
8.5,0.6316687854641961
8.8,0.5668407122314312
8.89,0.5474985091079785
8.59,0.612213614632295
8.2,0.6958980084562875
6.68,0.9532635219242823
5.2,0.9764188309947321
4.7,0.9242944950904125
4.57,0.906469739779571
0.27,0.14171722259060596
0.98,0.22641441746736948
2.28,0.45216392633661373
2.82,0.5657538152836086
3.58,0.7283175964966185
4.22,0.8510274943553513
4.93,0.9516683710967708
5.4,0.9892343510513373
5.23,0.978647930330492
6.73,0.9478675455184324
7.06,0.9057588097329371
7.18,0.8878600407736541
7.7,0.7972414680791662
8.18,0.7001201050745596
8.36,0.6618116312606885
9.29,0.46339891367413394
9.39,0.443064405208842
9.68,0.38621312103275995
9.92,0.341944975728229
10.13,0.30555111453851014
10.02,0.324330307610717
10.06,0.3174280973694129
9.71,0.3805328919982249
9.79,0.3655860279793893
9.2,0.4819721979191451
9.02,0.5197726739535985
8.17,0.7022273499738885
6.41,0.9775501558834098
5.42,0.990247945969757
4.6,0.9107261548769422
3.15,0.6370554508780962
2.07,0.4102929577671335
2.14,0.4240646337424622
2.81,0.5636006152254331
3.4,0.6905969982999649
4.52,0.8991910735857129
4.96,0.9548243139553755
4.74,0.9294471469178021
0.71,0.190899796150412
0.6,0.1776079838675797
4.78,0.9344383115906757
5.67,0.9987088353346337
5.34,0.9858987416214459
5.72,0.9994556559317677
5.84,0.9999519802735608
6.28,0.9861962289936742
6.57,0.9641631065715373
6.66,0.9553454291444716
6.94,0.9223273149075412
7.12,0.8969701338965247
7.44,0.8449568559885456
7.81,0.7758632460790269
7.97,0.7437404048144979
7.48,0.8379031571039514
7.27,0.8736176241237745
6.88,0.9300857492225483
6.96,0.9196619815599018
7.22,0.8816137781954794
7.63,0.8105016595740215
7.83,0.7719106787789555
7.84,0.7699272610189251
8.15,0.7064339260246686
8.19,0.6980103041356831
7.43,0.8467026116341944
6.16,0.9923497145526605
4.73,0.9281740081009864
1.87,0.3720803294174271
2.01,0.3986473610134432
2.56,0.5102407242226908
2.67,0.5335890487946449
4.06,0.8225444337562335
5.03,0.9618006174845827
5.43,0.990736227869394
5.64,0.9981086356516574
6.69,0.9522061005520408
7.03,0.9100290912860948
7.15,0.8924545491262998
7.37,0.8570241741374651
7.71,0.795324477658894
7.54,0.8271171494232716
7.67,0.802958918230562
7.77,0.783709557454227
7.88,0.7619474892439542
7.45,0.843203973304448
7.73,0.7914741084503796
7.25,0.8768408080945918
6.44,0.9752678979221032
6.58,0.9632283710248672
6.29,0.9856036645324904
5.93,0.9991225809316725
5.92,0.9992655478673036
5.74,0.99966551916032
6.2,0.9904958797892698
6.22,0.9894947343035303
5.85,0.9999106690625936
3.95,0.8020007982780283
2.17,0.43002533028570855
2.33,0.46236490989902146
3.47,0.7053736129230591
2.85,0.5722192213078066
2.75,0.5507052834646493
2.24,0.44406373029149987
0.49,0.16498749127149856
3.63,0.738616018715843
4.55,0.9035857126141849
0.68,0.1872076859994433
1.32,0.2770029277341235
5.97,0.9984238998694364
5.76,0.999824549987297
5.89,0.9996182715028936
6.11,0.9943872307026453
6.36,0.9811161459225345
7.14,0.8939685846565625
7.94,0.7498464159839263
8.12,0.712723082468372
7.74,0.7895408539323744
8.05,0.7272924944848382
4.15,0.8387828083042055
4.44,0.8870795873676715
4.82,0.9392650849017397
4.81,0.9380739589056766
5.09,0.9673408250908492
6.24,0.988444303347604
6.21,0.9900014773906509
4.66,0.9189833428355513
4.87,0.9450630901572622
5.24,0.9793671763064338
4.48,0.893205695616573
4.29,0.8629128829295547
4.38,0.8776341193393533
4.89,0.9473079424326065
6.12,0.9940046822648557
6.62,0.9593764318366599
7.0,0.9142148317242912
6.53,0.9677880080319131
5.81,0.9999995951133016
5.66,0.9985214308175109
4.58,0.9078978791940752
4.37,0.8760306768302953
3.32,0.6735737904082004
2.96,0.5959802407506071
2.95,0.5938177482393447
2.08,0.41224834553992945
1.49,0.30470498189457595
1.35,0.2817769162404898
0.63,0.18116607107838323
0.24,0.1387431614532865
0.39,0.15408827601573416
0.38,0.15302805847111417
0.23,0.1377622376182285
0.82,0.20487075112222197
1.04,0.23486780781129538
0.93,0.21952600273353087
1.17,0.25388279193443863
0.88,0.2127794805065199
0.2,0.13485058851085974
0.15,0.13010084456598037
3.0,0.6046323287748918
4.97,0.9558542997281653
6.54,0.9668989567534708
6.95,0.9209995420686081
7.2,0.8847539067904113
7.38,0.8553224181768121
7.56,0.8234689493063851
7.87,0.7639492221101847
7.65,0.8067419984032779
7.6,0.8160961634347171
7.36,0.8587183920767577
7.33,0.8637552381653862
7.39,0.8536131824156235
7.34,0.8620839818737203
6.43,0.9760404740816407
5.01,0.9598632532341494
4.32,0.8678916769841812
3.14,0.6348973542867155
2.41,0.4788504643294852
1.92,0.3814680981438959
1.69,0.339262342814898
1.83,0.3646532229820036
2.7,0.539995907605203
3.19,0.6456793012023415
4.51,0.897708108909797
5.14,0.9716420676725291
5.36,0.9870595842085874
5.61,0.997394599199265
5.7,0.9991949923276797
5.9,0.9995133978803231
6.18,0.9914475880053178
6.08,0.9954597770845323
5.6,0.997131331192196
5.73,0.9995669397762679
6.6,0.9613249298550108
6.77,0.9433567313471236
6.51,0.9695315627416742
6.56,0.9650864722362061
6.52,0.9686655542842451
6.34,0.9824586925454755
5.37,0.9876216724424067
4.61,0.9121261900508832
4.85,0.9427755840388817
5.83,0.9999805723321847
6.45,0.9744835367797425
7.35,0.8604050139463573
6.38,0.9797255801884377
6.7,0.9511377526153636
6.9,0.9275395758666269
6.86,0.9325914567507423
8.1,0.7169013284570769
7.9,0.7579308193265002
7.23,0.8800311031672694
7.82,0.7738893613136612
6.92,0.9249533062191739
5.78,0.9999327241409179
5.96,0.9986175792943995
6.07,0.9957922142428234
6.47,0.9728795776739428
5.45,0.9916756679728886
6.14,0.9932021224692893
6.39,0.9790123553405206
5.79,0.9999677345021535
6.74,0.9467558892677558
6.83,0.9362733490261038
6.27,0.9867765968264223
6.31,0.9843820357751901
5.63,0.9978832607386657
