data,normed data
13.43,0.07438151436949465
12.56,0.1388145608961348
11.92,0.20799718408545667
11.76,0.22846644503714061
11.51,0.26302844807955655
11.12,0.3230871917893007
10.74,0.38829989707407503
10.85,0.36879263730849243
11.38,0.2822307873097715
11.72,0.23378539488119668
12.14,0.18195097766213206
12.09,0.18765847940248773
11.89,0.21173691366660546
12.01,0.19704939012850986
12.35,0.15932236956528167
11.99,0.19944711016572653
12.04,0.19349035040860935
11.63,0.24604749320669708
11.25,0.30225725014286225
11.2,0.31017500693073163
11.0,0.34300486750750714
10.4,0.4514434259811589
9.95,0.5401162517857965
9.48,0.6356575245472645
9.15,0.7021199104401596
8.52,0.8203926682644553
7.46,0.9634404154835554
6.85,0.9976988950499509
5.85,0.9646562474491152
5.73,0.9534977681737581
6.12,0.9843690281577878
7.07,0.9899924519965352
7.66,0.9437885415544409
8.61,0.8045547287167254
9.32,0.6680827545012139
9.31,0.6700990333875182
10.37,0.4571984512848317
10.86,0.3670437180730099
10.99,0.3446937676510219
11.05,0.33462696485519217
10.83,0.372302895092257
11.53,0.26014840371753745
11.58,0.2530354651567528
10.7,0.39551236917890314
10.33,0.4649125527764436
9.91,0.5481877787134966
9.51,0.6295525831624466
9.07,0.7179204782744862
9.76,0.578612692630853
9.77,0.5765784414082114
9.73,0.5847189674138362
9.24,0.6841679093104646
9.44,0.6437877868176555
9.23,0.6861707042057995
9.18,0.6961549641734337
9.22,0.6881715860298181
9.19,0.6941622440535702
8.9,0.750882163551613
10.26,0.4785185262675554
9.92,0.5461679154994281
9.58,0.6152913813909364
9.8,0.5704798209843774
10.06,0.5180439558938622
10.38,0.455277147964491
10.47,0.438121875997131
10.65,0.4046137621012776
11.04,0.3362936125426991
11.23,0.30541015833083884
11.26,0.3006879266356209
10.63,0.4082804000736273
10.43,0.44571551356169986
10.55,0.42309098050864885
11.07,0.3313071770486168
10.32,0.46684814205264574
10.14,0.5021286679763233
10.21,0.488314636722075
9.39,0.6539307306006367
9.11,0.7100404214908749
9.35,0.6620253615996382
8.44,0.8340912586916751
8.59,0.8081115528284841
7.97,0.9059886804277903
8.1,0.8877178265256058
8.21,0.8712455212973907
8.3,0.8571236970072464
7.95,0.9086787407394681
7.47,0.9625514919083288
7.55,0.9550809820534464
7.09,0.989026579770217
8.18,0.8758261611784963
9.65,0.6010203792056625
10.0,0.5300589867371285
10.57,0.4193671437873085
10.58,0.4175104578163284
9.94,0.5421321113829779
9.85,0.560331822481712
9.93,0.5441493461390561
10.56,0.42122732689093045
10.3,0.47072757267853393
9.52,0.627516478880024
11.16,0.31659388998360816
11.13,0.3214569348322515
11.66,0.2419148826866506
12.88,0.11145159124184414
12.25,0.16982913470749833
12.3,0.16451511959299678
11.61,0.24882765506804663
10.41,0.4495310687377091
9.61,0.6091755054473135
9.49,0.6336231538526328
9.5,0.6315881574163997
9.17,0.6981455161213324
8.74,0.7809530587499384
8.47,0.8289979362959196
9.36,0.66000354466026
8.73,0.7827967970602623
8.36,0.8474055522153079
8.6,0.8063357351027144
8.62,0.802768585334831
8.96,0.7393549443927561
10.48,0.43623144479319664
9.98,0.534077326530688
9.88,0.5542547210555733
9.42,0.6478479078807865
9.6,0.6112142525258091
8.67,0.7937626257671032
8.97,0.7374218556633158
8.14,0.8818316565515065
7.9,0.9152578880944522
7.01,0.9926265103994723
7.67,0.9427046866569306
7.81,0.926560809969818
8.53,0.8186546122410268
8.13,0.8833145011056422
8.03,0.8977227057433942
8.43,0.8357770896775579
7.65,0.9448629661859697
7.16,0.9853026808844652
6.46,0.9980037402563736
6.44,0.9975571268238991
5.83,0.9628962685240212
5.41,0.9170448503357445
5.32,0.9051569250286055
4.87,0.836427071924319
4.58,0.785345693394578
4.46,0.7630083993482351
4.01,0.6749047239985105
3.56,0.5834698752858182
3.57,0.5855060353826057
3.13,0.49695818785679335
4.77,0.8193270608158518
5.33,0.9065111296696458
5.78,0.9583208406716833
6.88,0.9969654971898162
7.5,0.9598245645627131
7.48,0.9616525223856591
7.71,0.9382756747450373
7.44,0.9651880076055971
7.43,0.9660466183477878
7.51,0.9588956365718361
7.02,0.9922150425609486
7.1,0.9885272423649125
6.8,0.9986967057841717
6.81,0.9985196288422628
6.49,0.998589406112165
6.31,0.9935638072479366
6.48,0.9984054272591043
7.38,0.9701866914457156
7.6,0.9500924191953017
8.06,0.8934817393830404
7.74,0.9348566556355773
7.19,0.9835443041139078
6.75,0.9994131563824336
6.28,0.9923753910349016
7.08,0.9895149884597494
7.45,0.9643192637361369
6.93,0.995519365236572
6.39,0.9962444518175022
5.03,0.8625030190371841
4.2,0.7127766285147056
4.56,0.7816662264250613
4.06,0.6849422468679724
3.92,0.6567387414517086
3.72,0.6160792405051226
3.97,0.666845075952949
1.78,0.2621429046288032
1.93,0.2843277637924124
1.13,0.1790169791295645
0.0,0.08233348573992079
4.22,0.7167146664985052
4.7,0.8070227365838504
4.83,0.8296571400344606
4.72,0.810565073174332
5.49,0.9270303408299474
6.16,0.9866320658484234
7.53,0.9570080355184559
8.15,0.8803413539412112
8.56,0.8134073583462372
8.35,0.8490415410397317
9.09,0.713985713455477
9.56,0.6193677124424944
9.54,0.6234428707032987
10.12,0.5060953641441213
10.44,0.4438123756595294
8.75,0.7791048596019564
8.19,0.8743064906021253
8.83,0.7641649538688859
8.87,0.7565975727702575
8.71,0.7864706822117252
8.77,0.7753952879153289
