index,type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
1,T,3/8/2019 11:45,30.32477105,78.05154014,12,646,,3.46,67,22,29,20190308-171552,GPS Logger: 20190308-171552
2,T,3/8/2019 11:45,30.32479926,78.05156015,14,646,,3.38,59,22,29,,
3,T,3/8/2019 11:45,30.32483587,78.05160843,15,647,,3.93,52,23,29,,
4,T,3/8/2019 11:45,30.32482861,78.05156147,14,645,,2.19,45,24,29,,
5,T,3/8/2019 11:45,30.32484906,78.05159785,9,644,,3.54,61,24,29,,
6,T,3/8/2019 11:45,30.32486973,78.0516322,8,644,,2.47,52,24,29,,
7,T,3/8/2019 11:45,30.32487966,78.05165489,8,644,,1.91,57,24,29,,
8,T,3/8/2019 11:45,30.32488849,78.05167225,6,644,,1.64,56,24,29,,
9,T,3/8/2019 11:46,30.32489324,78.05168298,8,643,,0.65,61,24,29,,
10,T,3/8/2019 11:46,30.32490014,78.05169445,8,642,,1,63,24,29,,
11,T,3/8/2019 11:46,30.32490977,78.0517101,6,643,,1.14,61,24,29,,
12,T,3/8/2019 11:46,30.3249191,78.05172841,8,644,,1.49,61,24,29,,
13,T,3/8/2019 11:46,30.32492773,78.05174864,9,643,,1.56,65,24,29,,
14,T,3/8/2019 11:46,30.32493072,78.05176357,11,643,,1.01,74,24,29,,
15,T,3/8/2019 11:46,30.32492969,78.05176974,12,644,,0.48,81,24,29,,
16,T,3/8/2019 11:46,30.32492833,78.05177992,9,645,,1.21,80,24,29,,
17,T,3/8/2019 11:46,30.3249288,78.05179348,8,646,,1.26,70,24,29,,
18,T,3/8/2019 11:46,30.32493303,78.05180695,9,645,,1.34,61,24,29,,
19,T,3/8/2019 11:46,30.32493659,78.05182539,9,645,,1.56,65,24,29,,
20,T,3/8/2019 11:46,30.32494273,78.05184246,11,647,,1.33,68,24,29,,
21,T,3/8/2019 11:46,30.32494254,78.05185809,9,648,,1.41,76,25,29,,
22,T,3/8/2019 11:46,30.32494071,78.05187298,9,648,,1.11,79,25,29,,
23,T,3/8/2019 11:46,30.3249427,78.05188338,9,648,,0.66,72,25,29,,
24,T,3/8/2019 11:46,30.32495115,78.05188564,9,649,,0.35,358,24,29,,
25,T,3/8/2019 11:46,30.32496061,78.05188922,8,649,,0.39,360,24,29,,
26,T,3/8/2019 11:46,30.32497478,78.05189707,8,648,,0.29,7,24,29,,
27,T,3/8/2019 11:46,30.32498468,78.0519047,8,648,,0.4,9,23,29,,
28,T,3/8/2019 11:46,30.32498795,78.05191073,8,649,,0.56,4,23,29,,
29,T,3/8/2019 11:46,30.32498924,78.05191436,8,649,,0.64,8,23,29,,
30,T,3/8/2019 11:46,30.32498779,78.05191696,8,649,,0.38,12,23,29,,
31,T,3/8/2019 11:46,30.32497209,78.05191699,9,649,,0,,23,29,,
32,T,3/8/2019 11:46,30.32496624,78.05191572,9,649,,0,,23,29,,
33,T,3/8/2019 11:46,30.32496545,78.05191462,9,649,,0,,23,29,,
34,T,3/8/2019 11:46,30.3249682,78.05191035,9,650,,0,,23,29,,
35,T,3/8/2019 11:46,30.32496589,78.05190993,9,649,,0,,23,29,,
36,T,3/8/2019 11:46,30.32496607,78.051909,9,650,,0,,23,29,,
37,T,3/8/2019 11:46,30.32497083,78.05191213,11,650,,0,,23,29,,
38,T,3/8/2019 11:46,30.32497251,78.05191243,11,649,,0,,23,29,,
39,T,3/8/2019 11:46,30.32497713,78.05191167,12,649,,0,,23,29,,
40,T,3/8/2019 11:46,30.32497922,78.05191215,14,649,,0,,22,29,,
41,T,3/8/2019 11:46,30.32498085,78.05191346,12,649,,0,,22,29,,
42,T,3/8/2019 11:46,30.32498092,78.05191545,11,649,,0,,22,29,,
43,T,3/8/2019 11:46,30.32498023,78.05191846,11,649,,0,,22,29,,
44,T,3/8/2019 11:46,30.32497775,78.05192092,11,649,,0,,21,29,,
45,T,3/8/2019 11:46,30.32497753,78.05192067,11,649,,0,,21,29,,
46,T,3/8/2019 11:46,30.32497638,78.05192164,12,649,,0,,21,29,,
47,T,3/8/2019 11:46,30.32497623,78.05192168,12,649,,0,,21,29,,
48,T,3/8/2019 11:46,30.32497613,78.05192145,15,649,,0,,21,29,,
49,T,3/8/2019 11:46,30.32497741,78.0519208,12,649,,0,,21,29,,
50,T,3/8/2019 11:46,30.32497765,78.05192122,11,649,,0,,21,29,,
51,T,3/8/2019 11:46,30.32497713,78.05192215,11,650,,0,,21,29,,
52,T,3/8/2019 11:46,30.32497708,78.05192217,12,650,,0,,21,29,,
53,T,3/8/2019 11:46,30.32497707,78.05192215,11,650,,0,,21,29,,
54,T,3/8/2019 11:46,30.32497702,78.05192219,11,650,,0,,21,29,,
55,T,3/8/2019 11:46,30.32497699,78.05192228,8,650,,0,,21,29,,
56,T,3/8/2019 11:46,30.32497592,78.05192202,15,650,,0,,21,29,,
57,T,3/8/2019 11:46,30.32497449,78.05192183,15,649,,0,,21,29,,
58,T,3/8/2019 11:46,30.32497458,78.05192235,15,650,,0,,21,29,,
59,T,3/8/2019 11:46,30.32497443,78.0519224,15,650,,0,,21,29,,
60,T,3/8/2019 11:46,30.32497441,78.0519224,15,650,,0,,21,29,,
61,T,3/8/2019 11:46,30.32497446,78.05192235,15,650,,0,,21,29,,
62,T,3/8/2019 11:46,30.32497441,78.05192234,15,650,,0,,21,29,,
63,T,3/8/2019 11:46,30.32497437,78.05192236,15,650,,0,,21,29,,
64,T,3/8/2019 11:46,30.32497428,78.05192211,15,650,,0,,21,29,,
65,T,3/8/2019 11:46,30.32497417,78.05192169,15,650,,0,,21,29,,
66,T,3/8/2019 11:46,30.32497416,78.05192152,15,650,,0,,20,29,,
67,T,3/8/2019 11:46,30.32497415,78.05192142,15,650,,0,,20,29,,
68,T,3/8/2019 11:46,30.32497397,78.05192155,15,650,,0,,20,29,,
69,T,3/8/2019 11:47,30.32497393,78.05192162,15,650,,0,,21,29,,
70,T,3/8/2019 11:47,30.32497388,78.05192137,15,650,,0,,21,29,,
71,T,3/8/2019 11:47,30.32497391,78.05192132,15,650,,0,,21,29,,
72,T,3/8/2019 11:47,30.32497372,78.05192169,15,650,,0,,21,29,,
73,T,3/8/2019 11:47,30.32497368,78.05192191,15,647,,0,,20,29,,
74,T,3/8/2019 11:47,30.3249737,78.05192194,15,648,,0,,20,29,,
75,T,3/8/2019 11:47,30.32497371,78.05192193,15,648,,0,,20,29,,
76,T,3/8/2019 11:47,30.32497375,78.05192194,15,649,,0,,20,29,,
77,T,3/8/2019 11:47,30.32497384,78.05192187,15,649,,0,,21,29,,
78,T,3/8/2019 11:47,30.3249738,78.05192193,15,649,,0,,21,29,,
79,T,3/8/2019 11:47,30.32497389,78.05192199,17,649,,0,,21,29,,
80,T,3/8/2019 11:47,30.32497385,78.05192218,17,649,,0,,21,29,,
81,T,3/8/2019 11:47,30.32497361,78.05192259,17,649,,0,,21,29,,
82,T,3/8/2019 11:47,30.3249735,78.05192281,17,649,,0,,21,29,,
83,T,3/8/2019 11:47,30.32497347,78.051923,17,649,,0,,21,29,,
84,T,3/8/2019 11:47,30.32497287,78.05192373,17,649,,0,,22,29,,
85,T,3/8/2019 11:47,30.32497273,78.05192396,17,649,,0,,22,29,,
86,T,3/8/2019 11:47,30.32497274,78.05192405,17,649,,0,,22,29,,
87,T,3/8/2019 11:47,30.32497274,78.05192409,17,650,,0,,22,29,,
88,T,3/8/2019 11:47,30.32497273,78.05192415,17,650,,0,,22,29,,
89,T,3/8/2019 11:47,30.32497275,78.05192419,17,650,,0,,22,29,,
90,T,3/8/2019 11:47,30.32497306,78.05192387,17,650,,0,,22,29,,
91,T,3/8/2019 11:47,30.32497325,78.05192379,17,650,,0,,22,29,,
