index,type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
1,T,3/14/2019 10:45,30.32492816,78.05272477,6,616,,4.76,89,21,31,20190314-161533,GPS Logger: 20190314-161533
2,T,3/14/2019 10:45,30.32493276,78.05277591,5,619,,4.43,89,21,31,,
3,T,3/14/2019 10:45,30.32493687,78.0528254,5,618,,4.55,88,21,31,,
4,T,3/14/2019 10:45,30.32494152,78.05287649,5,620,,4.61,88,21,31,,
5,T,3/14/2019 10:45,30.32494563,78.05292969,5,622,,4.85,90,21,31,,
6,T,3/14/2019 10:45,30.32494877,78.05298304,5,624,,4.73,90,21,31,,
7,T,3/14/2019 10:45,30.32495025,78.05303405,5,624,,4.73,90,22,31,,
8,T,3/14/2019 10:45,30.32494963,78.05308716,6,624,,4.94,91,22,31,,
9,T,3/14/2019 10:45,30.32494999,78.05311628,5,623,,0,,22,31,,
10,T,3/14/2019 10:45,30.32494934,78.05315776,5,624,,5.14,90,22,31,,
11,T,3/14/2019 10:45,30.32494818,78.05322255,5,623,,5.16,90,22,31,,
12,T,3/14/2019 10:45,30.32494769,78.05328566,5,623,,5.21,90,22,31,,
13,T,3/14/2019 10:45,30.32494286,78.05337577,6,626,,5.07,89,22,31,,
14,T,3/14/2019 10:45,30.32494848,78.05343461,6,626,,5.13,89,22,31,,
15,T,3/14/2019 10:45,30.32494834,78.05349422,6,626,,5.27,91,22,31,,
16,T,3/14/2019 10:45,30.32495664,78.05354791,5,626,,5.3,92,22,31,,
17,T,3/14/2019 10:45,30.32495859,78.05361064,5,628,,5.58,91,22,31,,
18,T,3/14/2019 10:45,30.32495793,78.05367304,6,629,,5.57,94,22,31,,
19,T,3/14/2019 10:45,30.3249401,78.05373444,6,631,,5.61,97,22,31,,
20,T,3/14/2019 10:45,30.32492109,78.05379814,6,629,,5.75,100,22,31,,
21,T,3/14/2019 10:45,30.32492375,78.05385955,8,630,,6.03,98,22,31,,
22,T,3/14/2019 10:45,30.32490047,78.05391841,6,630,,5.34,102,22,31,,
23,T,3/14/2019 10:45,30.32488321,78.05397351,6,630,,5.14,99,22,31,,
24,T,3/14/2019 10:45,30.32488024,78.05402188,8,631,,4.97,99,22,31,,
25,T,3/14/2019 10:45,30.32486478,78.05407781,8,630,,5.26,100,22,31,,
26,T,3/14/2019 10:45,30.3248566,78.05412556,9,630,,4.95,101,22,31,,
27,T,3/14/2019 10:45,30.32484693,78.05417668,11,630,,4.99,102,22,31,,
28,T,3/14/2019 10:46,30.32483642,78.0542204,12,630,,4.62,105,22,31,,
29,T,3/14/2019 10:46,30.32483395,78.05425002,11,628,,3.95,110,22,31,,
30,T,3/14/2019 10:46,30.32482565,78.05429819,11,628,,4.12,108,22,31,,
31,T,3/14/2019 10:46,30.32482377,78.05435461,12,627,,4.05,101,22,31,,
32,T,3/14/2019 10:46,30.324804,78.05438983,12,627,,4.02,108,22,31,,
33,T,3/14/2019 10:46,30.32480557,78.05444207,12,627,,4.4,100,22,31,,
34,T,3/14/2019 10:46,30.32479819,78.05448535,12,627,,4.3,97,22,31,,
35,T,3/14/2019 10:46,30.32479706,78.05455063,11,627,,4.71,99,22,31,,
36,T,3/14/2019 10:46,30.32481303,78.05460915,12,626,,4.91,92,22,31,,
37,T,3/14/2019 10:46,30.3248092,78.05467624,12,626,,5.49,94,22,31,,
38,T,3/14/2019 10:46,30.32479547,78.05473693,14,625,,5.26,94,22,31,,
39,T,3/14/2019 10:46,30.32479158,78.05478113,15,626,,4.73,92,21,31,,
40,T,3/14/2019 10:46,30.32478424,78.05481273,12,625,,3.51,100,22,31,,
41,T,3/14/2019 10:46,30.3247779,78.05487305,11,624,,3.92,101,22,31,,
42,T,3/14/2019 10:46,30.3247576,78.05490338,9,624,,3.46,97,22,31,,
43,T,3/14/2019 10:46,30.32476765,78.05499669,8,626,,4.05,97,22,31,,
44,T,3/14/2019 10:46,30.32475351,78.05503754,8,626,,4.88,100,21,32,,
45,T,3/14/2019 10:46,30.32475447,78.05507648,8,624,,4.72,98,21,31,,
46,T,3/14/2019 10:46,30.3247535,78.05511765,8,625,,4.13,91,21,31,,
47,T,3/14/2019 10:46,30.32474147,78.05515913,8,626,,4.21,98,22,32,,
48,T,3/14/2019 10:46,30.32473302,78.05520942,8,625,,4.47,98,22,32,,
49,T,3/14/2019 10:46,30.32472548,78.05525175,8,626,,4.28,102,22,32,,
50,T,3/14/2019 10:46,30.32472109,78.05527827,9,626,,3.14,96,22,32,,
51,T,3/14/2019 10:46,30.32472635,78.0552946,11,626,,2.47,92,22,32,,
52,T,3/14/2019 10:46,30.32471448,78.05531757,12,625,,2.18,96,22,32,,
53,T,3/14/2019 10:46,30.32470813,78.05535382,14,625,,2.8,100,22,32,,
54,T,3/14/2019 10:46,30.32469672,78.05536964,14,625,,2.27,111,22,32,,
55,T,3/14/2019 10:46,30.32469174,78.05543223,14,625,,3.49,102,22,32,,
56,T,3/14/2019 10:46,30.32466639,78.05546087,14,626,,3.66,117,22,32,,
57,T,3/14/2019 10:46,30.32465885,78.05551783,12,626,,4.02,117,21,32,,
58,T,3/14/2019 10:46,30.32465249,78.0555793,12,626,,4.4,105,22,32,,
59,T,3/14/2019 10:46,30.32464615,78.05563074,12,626,,4.45,101,22,32,,
60,T,3/14/2019 10:46,30.32465126,78.05567428,12,626,,4.17,94,22,32,,
61,T,3/14/2019 10:46,30.32465656,78.05571365,12,626,,3.97,89,22,32,,
62,T,3/14/2019 10:46,30.324658,78.05574033,18,626,,3.6,88,22,32,,
63,T,3/14/2019 10:46,30.32465308,78.05576269,18,627,,3.26,89,22,32,,
64,T,3/14/2019 10:46,30.32464342,78.05581403,17,627,,3.62,107,22,32,,
65,T,3/14/2019 10:46,30.32463889,78.05584359,17,627,,2.61,114,22,32,,
66,T,3/14/2019 10:46,30.32463817,78.05586933,17,627,,2.44,105,22,32,,
67,T,3/14/2019 10:46,30.32463987,78.05589858,17,627,,2.49,104,22,32,,
68,T,3/14/2019 10:46,30.32464188,78.05593239,17,627,,3.3,93,22,32,,
69,T,3/14/2019 10:46,30.32464955,78.05596883,17,628,,3.09,86,22,32,,
70,T,3/14/2019 10:46,30.32465338,78.05601408,17,628,,4.08,88,22,32,,
71,T,3/14/2019 10:46,30.32464825,78.05606615,17,629,,4.12,93,22,32,,
72,T,3/14/2019 10:46,30.32463781,78.05611962,17,628,,4.36,100,22,32,,
73,T,3/14/2019 10:46,30.32462136,78.0561789,17,630,,4.66,106,22,32,,
74,T,3/14/2019 10:46,30.32460215,78.0562311,15,631,,3.83,111,22,32,,
75,T,3/14/2019 10:46,30.32458286,78.05628653,15,632,,4.48,110,21,31,,
76,T,3/14/2019 10:46,30.32456663,78.05633927,15,632,,3.65,106,21,32,,
77,T,3/14/2019 10:46,30.32455651,78.05638901,15,632,,4.06,103,21,32,,
78,T,3/14/2019 10:46,30.3245435,78.05644093,15,633,,4.58,104,21,32,,
79,T,3/14/2019 10:46,30.32453246,78.05649515,15,634,,4.85,105,21,32,,
80,T,3/14/2019 10:46,30.32452224,78.05654684,15,634,,4.52,105,21,32,,
81,T,3/14/2019 10:46,30.32451106,78.05659995,15,633,,4.97,104,21,32,,
82,T,3/14/2019 10:46,30.32449692,78.05665932,15,633,,5.47,105,20,32,,
83,T,3/14/2019 10:46,30.32448887,78.05675405,15,633,,5.63,110,20,32,,
84,T,3/14/2019 10:46,30.32446397,78.05677596,15,633,,5.19,103,20,32,,
85,T,3/14/2019 10:46,30.32444657,78.05683489,17,633,,5.32,106,20,32,,
86,T,3/14/2019 10:46,30.32439332,78.05691085,17,633,,5.52,109,20,32,,
87,T,3/14/2019 10:46,30.32435338,78.05699739,15,633,,5.36,107,19,32,,
88,T,3/14/2019 10:47,30.32432751,78.05708525,15,633,,5.89,101,20,32,,
